GO.ID	Description	p.Val
GO:0032797	SMN complex	0.0038
GO:0030018	Z disc	0.0070
GO:1990923	PET complex	0.0164
GO:1990023	mitotic spindle midzone	0.0164
GO:0016533	protein kinase 5 complex	0.0164
GO:0005700	polytene chromosome	0.0164
GO:0009925	basal plasma membrane	0.0322
GO:0008290	F-actin capping protein complex	0.0325
GO:0097038	perinuclear endoplasmic reticulum	0.0325
GO:0009331	glycerol-3-phosphate dehydrogenase (FAD) complex	0.0325
GO:0031463	Cul3-RING ubiquitin ligase complex	0.0325
GO:0071006	U2-type catalytic step 1 spliceosome	0.0483
GO:0005901	caveola	0.0639
GO:0071007	U2-type catalytic step 2 spliceosome	0.0639
GO:0005741	mitochondrial outer membrane	0.0714
GO:0030134	COPII-coated ER to Golgi transport vesicle	0.0761
GO:0030479	actin cortical patch	0.0792
GO:0031080	nuclear pore outer ring	0.0792
GO:0031941	filamentous actin	0.0792
GO:0030027	lamellipodium	0.0792
GO:0042765	GPI-anchor transamidase complex	0.0792
GO:0030054	cell junction	0.0800
GO:0043231	intracellular membrane-bounded organelle	0.0922
GO:0000127	transcription factor TFIIIC complex	0.0943
GO:0030426	growth cone	0.0943
GO:0070822	Sin3-type complex	0.0943
GO:0030991	intraciliary transport particle A	0.0943
GO:0030424	axon	0.0946
GO:0001725	stress fiber	0.1091
GO:0016514	SWI/SNF complex	0.1237
GO:0008076	voltage-gated potassium channel complex	0.1380
GO:0000974	Prp19 complex	0.1380
GO:0035102	PRC1 complex	0.1522
GO:0000786	nucleosome	0.1522
GO:0048471	perinuclear region of cytoplasm	0.1646
GO:0016323	basolateral plasma membrane	0.1797
GO:0033176	proton-transporting V-type ATPase complex	0.1932
GO:0043005	neuron projection	0.1983
GO:0031519	PcG protein complex	0.2305
GO:0030687	preribosome, large subunit precursor	0.2322
GO:0005811	lipid droplet	0.2572
GO:0016020	membrane	0.2585
GO:0000118	histone deacetylase complex	0.2792
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	0.2814
GO:0005829	cytosol	0.2886
GO:0034703	cation channel complex	0.2911
GO:0005778	peroxisomal membrane	0.2932
GO:0005912	adherens junction	0.2932
GO:0005777	peroxisome	0.3257
GO:0016592	mediator complex	0.3600
GO:0031966	mitochondrial membrane	0.3706
GO:0005886	plasma membrane	0.3748
GO:0005759	mitochondrial matrix	0.4409
GO:0005730	nucleolus	0.4423
GO:0000785	chromatin	0.4576
GO:0022625	cytosolic large ribosomal subunit	0.4578
GO:0005634	nucleus	0.4808
GO:0099503	secretory vesicle	0.5703
GO:0043235	receptor complex	0.5774
GO:0015629	actin cytoskeleton	0.6186
GO:0000139	Golgi membrane	0.6708
GO:0005764	lysosome	0.6920
GO:0005739	mitochondrion	0.7687
GO:0005667	transcription regulator complex	0.8502
GO:0005576	extracellular region	0.8647
GO:0045202	synapse	0.8712
GO:0005783	endoplasmic reticulum	0.9339
GO:0005789	endoplasmic reticulum membrane	0.9478
GO:0005794	Golgi apparatus	0.9535
GO:0005737	cytoplasm	0.9675
GO:0005615	extracellular space	0.9747
GO:0098857	membrane microdomain	1.0000
GO:0098796	membrane protein complex	1.0000
GO:0030135	coated vesicle	1.0000
GO:0098797	plasma membrane protein complex	1.0000
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	1.0000
GO:0005819	spindle	1.0000
GO:0051233	spindle midzone	1.0000
GO:0032991	protein-containing complex	1.0000
GO:0005622	intracellular anatomical structure	1.0000
GO:0030863	cortical cytoskeleton	1.0000
GO:0030864	cortical actin cytoskeleton	1.0000
GO:0005840	ribosome	1.0000
GO:0032993	protein-DNA complex	1.0000
GO:0110165	cellular anatomical structure	1.0000
GO:0031410	cytoplasmic vesicle	1.0000
GO:0044391	ribosomal subunit	1.0000
GO:0140513	nuclear protein-containing complex	1.0000
GO:0031981	nuclear lumen	1.0000
GO:0031982	vesicle	1.0000
GO:0030427	site of polarized growth	1.0000
GO:0031984	organelle subcompartment	1.0000
GO:0042995	cell projection	1.0000
GO:0098590	plasma membrane region	1.0000
GO:0043226	organelle	1.0000
GO:0098533	ATPase dependent transmembrane transport complex	1.0000
GO:0043227	membrane-bounded organelle	1.0000
GO:0043228	membraneless organelle	1.0000
GO:0005938	cell cortex	1.0000
GO:0043229	intracellular organelle	1.0000
