HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue
N5.HOG0067161,,-0.131216626779275,0.111453883811087,-1.17731766980579,0.239068736853256,0.462570047274562,0.0500096142016384,9.24962239079636,2.25287147327277e-20,1.9156390768668099e-16
N5.HOG0062479,,-0.102667206082786,0.0728425255845773,-1.40944050551322,0.158704953937815,0.283759486506481,0.0322464037724067,8.79972503319251,1.3715178584700698e-18,5.83107655158239e-15
N5.HOG0068083,,-0.116299676540239,0.102022629398412,-1.13994000376204,0.254311297347869,0.391135269647943,0.0453788246588326,8.61933451535114,6.7344350042966696e-18,1.90878574416399e-14
N5.HOG0066573,,-0.115956381943508,0.129817329668969,-0.893227292836737,0.37173546501482,0.481546541014106,0.0584227601469878,8.2424476317546,1.68722972407064e-16,2.39111376261039e-13
N5.HOG0058652,,-2.08367164340846,0.532023765613835,-3.91650106270041,8.98434199622185e-05,2.17446000681438,0.264916092052237,8.20810842395189,2.24700264704938e-16,2.72949822201659e-13
N5.HOG0012041,,-0.833900037304249,0.292098612619263,-2.85485791879196,0.0043056086089495,1.44620429265573,0.178372368175567,8.1077820934253,5.15520811037211e-16,5.47940607285468e-13
N5.HOG0029535,,-0.354901601248279,0.232373537181932,-1.52728923246719,0.126689105777589,0.836912048026305,0.114241101143941,7.32584017175935,2.37406602116245e-13,2.0186920093554101e-10
N5.HOG0009906,,0.0080745183746158,0.166183508787783,0.0485879641940102,0.96124766181878,0.548364536165135,0.0757182356653896,7.2421726595485,4.41553208013925e-13,3.41324632231395e-10
N5.HOG0054990,,0.233858828396783,0.187589613240774,1.24665126366363,0.212525396165978,0.621256531405144,0.0868780446210554,7.15090370777727,8.62084502082099e-13,5.63876190672091e-10
N5.HOG0067827,,-0.0740141107427088,0.150915679641577,-0.490433538241296,0.623827149041838,0.48418879970956,0.0679472950390662,7.12594665366997,1.03367749780739e-12,6.27818773624664e-10
N5.HOG0067255,,-0.117893819763823,0.123666487507806,-0.953320678380079,0.340427617492821,0.387890677698839,0.0549893885209722,7.05391873108214,1.73947997618516e-12,9.68644561206423e-10
N5.HOG0013421,,-0.804581657152539,0.582870804904929,-1.3803773501467,0.167470490261574,1.9213966035568,0.272638331132688,7.04741917827281,1.8226662640455197e-12,9.68644561206423e-10
N5.HOG0040581,,-0.240341983130915,0.172786277233031,-1.39097842131742,0.164231970362514,0.551721709880222,0.0787810994728013,7.00322429583127,2.50137889036602e-12,1.25114553615432e-09
N5.HOG0063598,,-0.0339396066970161,0.171865246085908,-0.19747800948687,0.843453488483039,0.532410818982064,0.0780570359930286,6.82079215805241,9.05398540523453e-12,4.27705225911164e-09
